model_label,checkpoint_path,token_pruning_keep_ratio,token_pruning_keep_ratio_label,realized_context_keep_ratio,number_of_context_tokens_before_pruning,number_of_context_tokens_after_pruning,maximum_sequence_length,effective_document_stride,exact,f1,inference_energy_joules,joules_per_inference_example,joules_per_feature_window,joules_per_inference_token,joules_per_exact_match_correct_example,average_latency_per_raw_example_milliseconds,average_latency_per_feature_window_milliseconds,number_of_raw_evaluation_examples,number_of_feature_windows,number_of_inference_tokens
bert_edge,runs/2026-03-05_12-20-49_baseline_squad_v2/huggingface_trainer/checkpoint-32940,1.0,1.00,1.0,,,384,128,66.52909963783374,69.35464810481989,8420.782059071069,0.709237939785317,0.6939823684746225,0.0038556306021968042,1.0660567235183023,9.851819210982837,9.63990847964391,11873,12134,2184022
bert_edge,runs/2026-03-05_12-20-49_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.8,0.80,0.8024086204945992,1997658,1602938,384,128,62.65476290743704,66.32976376883272,4197.893934730293,0.35356640568771946,0.345961260485437,0.0023458867344690287,0.5643089037142482,4.900060129032181,4.794660780616375,11873,12134,1789470
bert_edge,runs/2026-03-05_12-20-49_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.6,0.60,0.6023523546072451,1997658,1203294,384,128,57.971868946348856,61.9522537592462,3261.7757075500494,0.2747221180451486,0.26881289826520927,0.0023468308464353704,0.47388866882900615,3.821220974479824,3.7390272482280325,11873,12134,1389864
bert_edge,runs/2026-03-05_12-20-49_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.4,0.40,0.40250883784912134,1997658,804075,384,128,52.83416154299672,56.0725336977254,2417.0612354588507,0.20357628530774452,0.19919739866975858,0.0024397262927182027,0.38531185006517626,2.8234842205002395,2.762751619416461,11873,12134,990710
bert_edge,runs/2026-03-05_12-20-49_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.3,0.30,0.3027605325836555,1997658,604812,384,128,51.1833571970016,53.85213745390607,1950.8072237586973,0.16430617567242461,0.16077198151958935,0.0024647119991392206,0.32101484675970005,2.297191822033087,2.247779668946666,11873,12134,791495
