model_label,checkpoint_path,precision_mode,precision_supported,precision_skip_reason,model_parameter_dtype,maximum_sequence_length,effective_document_stride,exact,f1,inference_energy_joules,joules_per_inference_example,joules_per_feature_window,joules_per_inference_token,joules_per_exact_match_correct_example,average_latency_per_raw_example_milliseconds,average_latency_per_feature_window_milliseconds,number_of_raw_evaluation_examples,number_of_feature_windows,number_of_inference_tokens
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,fp32,True,,torch.float32,384,128,72.50063168533647,75.49558826131825,7849.244126944542,0.6611003223233001,0.6468801818810402,0.0035939400459082103,0.9118545686506205,9.19857411859103,9.000714563213391,11873,12134,2184022
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,fp16,True,,torch.float16,384,128,72.50905415648951,75.50401073247127,1909.4612459206578,0.16082382261607495,0.15736453320592203,0.0008742866353547069,0.2217982629713855,2.2540686059966957,2.205584024971054,11873,12134,2184022
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,bf16,True,,torch.bfloat16,384,128,72.47536427187737,75.46209315725015,1787.2037774240964,0.15052672259951963,0.14728892182496262,0.0008183085048704163,0.2076936406071001,2.109865197005833,2.064482403498455,11873,12134,2184022
