model_label,checkpoint_path,maximum_sequence_length,effective_document_stride,exact,f1,inference_energy_joules,joules_per_inference_example,joules_per_feature_window,joules_per_inference_token,joules_per_exact_match_correct_example,average_latency_per_raw_example_milliseconds,average_latency_per_feature_window_milliseconds,number_of_raw_evaluation_examples,number_of_feature_windows,number_of_inference_tokens
bert_prune50,runs/2026-03-05_18-30-39_prune_refinetune_squad_v2/huggingface_trainer/checkpoint-16470,384,128,72.70277099300935,75.93220058902824,8240.069933601622,0.6940175131476141,0.6790893302786898,0.003772887788493716,0.9545956827620045,9.624829433925711,9.417801208917089,11873,12134,2184022
bert_prune50,runs/2026-03-05_18-30-39_prune_refinetune_squad_v2/huggingface_trainer/checkpoint-16470,320,128,72.30691484881665,75.4530970899672,7530.180035268073,0.6342272412421522,0.6020772395672882,0.0033645097987410303,0.8771322114464849,8.784048456750606,8.338770874470292,11873,12507,2238121
bert_prune50,runs/2026-03-05_18-30-39_prune_refinetune_squad_v2/huggingface_trainer/checkpoint-16470,288,128,71.82683399309357,74.98194701364389,6775.301746966835,0.5706478351694462,0.5238770391221553,0.0029460651657840465,0.7944772217362611,7.929470740840565,7.279564378411817,11873,12933,2299780
bert_prune50,runs/2026-03-05_18-30-39_prune_refinetune_squad_v2/huggingface_trainer/checkpoint-16470,256,128,71.26252842584015,74.3372680485872,6627.903799183372,0.5582332855372165,0.4823801891690955,0.002743168488029245,0.7833475711125603,7.7434895209298436,6.691299205385738,11873,13740,2416149
bert_prune50,runs/2026-03-05_18-30-39_prune_refinetune_squad_v2/huggingface_trainer/checkpoint-16470,224,112,70.4623936663017,73.44881563393135,6141.465341364149,0.5172631467501179,0.4122618877199536,0.0024231228105322097,0.7340981761133336,7.160884309441599,5.707268537692159,11873,14897,2534525
bert_prune50,runs/2026-03-05_18-30-39_prune_refinetune_squad_v2/huggingface_trainer/checkpoint-16470,192,96,68.34835340688959,71.10020084522087,5774.204246014354,0.48633068693795617,0.3326346129393602,0.0020902233013696935,0.7115470420227177,6.743756321317269,4.612513324673076,11873,17359,2762482
