timestamp_s,power_w
0.000002,72.086
0.050119,72.086
0.100251,71.421
0.150375,71.421
0.200492,71.319
0.250629,71.319
0.300756,71.702
0.350876,71.702
0.401021,71.394
0.451145,71.394
0.501256,71.34
0.551370,71.34
0.601492,71.376
0.651619,71.376
0.701722,71.403
0.751838,71.403
0.801949,71.075
0.852087,71.075
0.902204,71.2
0.952309,71.2
1.002430,71.392
1.052589,71.392
1.102748,72.061
1.152923,72.061
1.203107,71.404
1.253286,71.404
1.303433,71.351
1.353595,71.351
1.403737,71.279
1.453898,71.279
1.504044,71.878
1.554260,71.878
1.604366,71.073
1.654496,71.073
1.704680,70.953
1.754913,70.953
1.805132,70.885
