model_label,checkpoint_path,maximum_sequence_length,effective_document_stride,exact,f1,inference_energy_joules,joules_per_inference_example,joules_per_feature_window,joules_per_inference_token,joules_per_exact_match_correct_example,average_latency_per_raw_example_milliseconds,average_latency_per_feature_window_milliseconds,number_of_raw_evaluation_examples,number_of_feature_windows,number_of_inference_tokens
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,384,128,72.50063168533647,75.49558826131825,7949.670135198835,0.6695586738986637,0.6551565959451817,0.0036399221872301813,0.923521158828861,9.298338656953437,9.098333185594871,11873,12134,2184022
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,320,128,72.21426766613324,75.13243141627194,7616.481722371581,0.6414959759430288,0.6089775103839115,0.003403069683172438,0.8883230373654748,8.916524349362815,8.464531350442527,11873,12507,2238121
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,288,128,71.75103175271624,74.65830203069241,6873.250336029529,0.5788975268280576,0.5314505788316345,0.0029886555827207508,0.8068142195127983,8.069102084393977,7.407751414831029,11873,12933,2299780
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,256,128,71.05196664701424,73.89851354525705,6724.23681937933,0.5663469063740697,0.48939132601014046,0.002783038967952444,0.7970882905855061,7.88751604792211,6.815755315646231,11873,13740,2416149
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,224,112,70.25183188747579,72.90454006137679,6229.5231629323935,0.5246797913696954,0.41817299878716474,0.0024578661338642916,0.7468556723333405,7.310863491450733,5.826802861918141,11873,14897,2534525
bert_freeze_bottom_6,runs/2026-03-05_15-07-51_baseline_squad_v2/huggingface_trainer/checkpoint-32940,192,96,68.62629495493978,71.01372329329763,5704.385699862242,0.48045024002882525,0.3286125756012583,0.0020649494548244086,0.7000964285545216,6.694265071084079,4.5786628946933146,11873,17359,2762482
