model_label,checkpoint_path,maximum_sequence_length,effective_document_stride,exact,f1,inference_energy_joules,joules_per_inference_example,joules_per_feature_window,joules_per_inference_token,joules_per_exact_match_correct_example,average_latency_per_raw_example_milliseconds,average_latency_per_feature_window_milliseconds,number_of_raw_evaluation_examples,number_of_feature_windows,number_of_inference_tokens
bert_full,runs/2026-03-05_05-41-04_baseline_squad_v2/huggingface_trainer/checkpoint-32940,384,128,73.18285184873241,75.96958541768657,8173.066089494228,0.6883741337062435,0.6735673388407968,0.0037422086817322483,0.9406221762566727,9.572114061146433,9.366219733640317,11873,12134,2184022
bert_full,runs/2026-03-05_05-41-04_baseline_squad_v2/huggingface_trainer/checkpoint-32940,320,128,72.83753053145793,75.54349703478091,7313.476927361486,0.6159754844909867,0.5847506938003907,0.003267686120348938,0.8456841960408749,8.570020163817219,8.135592020868462,11873,12507,2238121
bert_full,runs/2026-03-05_05-41-04_baseline_squad_v2/huggingface_trainer/checkpoint-32940,288,128,72.30691484881665,75.01360327823846,6588.5144719946375,0.5549157308173703,0.5094343518127764,0.0028648455382665463,0.7674449006400277,7.723045024258319,7.090057494241013,11873,12933,2299780
bert_full,runs/2026-03-05_05-41-04_baseline_squad_v2/huggingface_trainer/checkpoint-32940,256,128,71.6246946854207,74.31900438769051,6343.864801701307,0.5343101829109161,0.4617077730495857,0.0026256099279064775,0.7459859832668517,7.50948299730327,6.489089638062717,11873,13740,2416149
bert_full,runs/2026-03-05_05-41-04_baseline_squad_v2/huggingface_trainer/checkpoint-32940,224,112,70.79087004127011,73.38797079965234,5959.402115795611,0.5019289240963203,0.40004041859405326,0.0023512895378012097,0.709030590814469,6.977868982819232,5.561404204404426,11873,14897,2534525
bert_full,runs/2026-03-05_05-41-04_baseline_squad_v2/huggingface_trainer/checkpoint-32940,192,96,68.81158932030658,71.1540898052904,5567.510052736999,0.46892192813416983,0.3207275795113197,0.0020154013864115672,0.6814577787927782,6.543362436705182,4.475450326113291,11873,17359,2762482
