timestamp_s,power_w
0.000001,36.325
0.050105,37.61
0.100269,37.61
0.150432,39.869
0.200718,39.869
0.250832,41.895
0.301020,41.895
0.351310,44.55
0.401437,44.55
0.451604,47.098
0.501842,47.098
0.551982,49.28
0.602165,49.28
0.652367,51.247
0.702978,51.247
0.753188,53.161
0.803318,53.161
0.853555,55.57
0.903702,55.57
0.953847,57.507
1.004005,57.507
1.054157,57.732
1.104362,57.732
1.154489,58.249
1.204685,58.249
1.254807,57.945
1.305017,57.945
1.355366,57.972
1.405556,57.972
1.455684,57.33
1.505937,57.33
1.556072,56.72
1.606621,56.72
1.656832,56.762
1.707044,56.762
1.757232,57.213
1.807378,57.213
1.857502,57.909
1.907756,57.909
1.957907,58.298
2.008158,58.298
2.058331,59.009
2.108476,59.009
2.158680,59.589
2.208858,59.589
2.259000,60.071
2.309156,60.071
2.359307,60.861
2.409445,60.861
2.459584,61.546
2.509734,61.546
2.559962,62.248
2.610097,62.248
2.660230,62.897
2.710416,62.897
2.760697,63.284
2.810917,63.284
2.861227,63.149
2.911374,63.149
2.961510,62.476
3.011667,62.476
3.061798,61.547
3.112021,61.547
3.162889,61.028
3.213020,61.028
3.263489,60.718
3.313637,60.718
3.363906,60.44
3.414051,60.44
3.464654,60.217
3.514793,60.217
3.564987,60.073
3.615160,60.073
3.665371,60.07
3.715580,60.07
3.765712,60.021
3.815946,60.021
3.866114,60.048
3.916640,60.048
3.966803,60.417
4.017036,60.417
4.067180,60.643
4.117348,60.643
4.167469,61.393
4.217664,61.393
4.267806,61.654
4.317937,61.654
4.368059,61.834
4.418240,61.834
4.468413,62.02
4.518563,62.02
4.568744,61.66
4.618918,61.66
4.669154,60.997
4.719342,60.997
4.769484,60.294
4.819646,60.294
4.869801,59.67
4.919956,59.67
4.970089,59.682
5.020284,59.682
5.070411,59.624
5.120544,59.624
5.170797,60.373
5.220975,60.373
5.271221,59.885
5.321410,59.885
5.371722,59.227
5.421955,59.227
5.472088,58.609
5.522333,58.609
5.572515,58.432
5.622998,58.432
5.673138,58.882
5.723330,58.882
5.773540,59.725
5.823709,59.725
5.873856,60.125
5.923999,60.125
5.974317,60.875
6.024502,60.875
6.074667,60.368
6.124803,60.368
6.174967,59.954
6.225211,59.954
6.275358,59.538
6.325550,59.538
6.375755,59.532
6.426009,59.532
6.476187,59.823
6.526431,59.823
6.576640,59.853
6.626805,60.048
6.676964,60.048
6.727110,59.832
6.777326,59.832
6.827469,59.352
6.877696,59.352
6.927909,59.853
6.978091,59.853
7.028231,59.538
7.078404,59.538
7.128643,59.694
7.178935,59.694
7.229194,59.481
7.279367,59.481
7.329512,59.271
7.379903,59.271
7.430069,59.589
7.480319,59.589
7.530470,59.994
7.580615,59.994
7.630812,60.443
7.681014,60.443
7.731200,60.602
7.781384,60.602
7.831537,60.638
7.881675,60.638
7.931860,60.272
7.982043,60.272
8.032215,59.456
8.082386,59.456
8.132540,59.408
8.182712,59.408
8.232870,59.249
8.283092,59.249
8.333343,59.261
8.383532,59.261
8.433878,59.576
8.484146,59.576
8.534326,59.463
8.584573,59.463
8.634745,59.007
8.684964,59.007
8.735217,58.581
8.785431,58.581
8.836234,58.35
8.886442,58.35
