model_label,checkpoint_path,token_pruning_keep_ratio,token_pruning_keep_ratio_label,realized_context_keep_ratio,number_of_context_tokens_before_pruning,number_of_context_tokens_after_pruning,maximum_sequence_length,effective_document_stride,exact,f1,inference_energy_joules,joules_per_inference_example,joules_per_feature_window,joules_per_inference_token,joules_per_exact_match_correct_example,average_latency_per_raw_example_milliseconds,average_latency_per_feature_window_milliseconds,number_of_raw_evaluation_examples,number_of_feature_windows,number_of_inference_tokens
distilbert,runs/2026-03-05_10-20-45_baseline_squad_v2/huggingface_trainer/checkpoint-32940,1.0,1.00,1.0,,,384,128,66.53752210898678,68.63109438553123,4011.5378035604967,0.3378706142980289,0.33060308254165954,0.0018367662063662805,0.5077895953874046,4.693000554196356,4.592055017304544,11873,12134,2184022
distilbert,runs/2026-03-05_10-20-45_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.8,0.80,0.8024086204945992,1997658,1602938,384,128,59.875347426935065,64.23125221236145,2086.213636187315,0.17571074169858628,0.17193123752985948,0.001165823107079507,0.29346091379762484,2.4605150975336065,2.4075898922874988,11873,12134,1789477
distilbert,runs/2026-03-05_10-20-45_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.6,0.60,0.6023523546072451,1997658,1203294,384,128,53.60060641792302,58.72038914838371,1649.9689229083058,0.13896815656601583,0.13597897831780995,0.0011870331259763033,0.25926601554184564,1.942957050622488,1.9011644191561565,11873,12134,1389994
distilbert,runs/2026-03-05_10-20-45_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.4,0.40,0.40250883784912134,1997658,804075,384,128,48.69030573570286,53.03346902498982,1166.8331004774568,0.09827618129179287,0.09616227958442862,0.001177570185428191,0.20183931853960504,1.410283739243806,1.379948807981021,11873,12134,990882
distilbert,runs/2026-03-05_10-20-45_baseline_squad_v2/huggingface_trainer/checkpoint-32940,0.3,0.30,0.3027605325836555,1997658,604812,384,128,46.593110418596815,49.950380009692886,945.5373277080058,0.07963760866739711,0.07792461906279922,0.001194431840120469,0.17092142583297285,1.1466078729884728,1.1219445587598595,11873,12134,791621
