early_exit_confidence_threshold,f1,exact,inference_energy_joules,joules_per_inference_example,joules_per_inference_feature_window,joules_per_inference_token,average_latency_per_raw_example_milliseconds,average_latency_per_feature_window_milliseconds,average_exited_layer,average_executed_layer_count,number_of_raw_evaluation_examples,number_of_feature_windows,number_of_inference_tokens,number_of_measurement_passes,number_of_energy_samples
1.01,76.64230647124019,73.39341362755833,10289.041012742517,0.8665915112223125,0.8479512949351011,0.004711051909157745,12.235639233469705,11.972452993158546,12.0,12.0,11873,12134,2184022,1,642
0.9,75.28604035714838,72.10477554114377,8116.670545371772,0.6836242352709317,0.6689196098048271,0.00371638680625551,9.659758698727476,9.451979151968958,9.047634745343663,9.047634745343663,11873,12134,2184022,1,507
0.8,70.41331045087054,67.3545018108313,6572.065061699149,0.5535302839803882,0.5416239543183738,0.0030091569872918627,7.783053469132943,7.6156414899468805,6.880171419152794,6.880171419152794,11873,12134,2184022,1,408
0.7,64.63801576719885,61.787248378674306,5366.471671646834,0.45198952848031954,0.4422673208873277,0.0024571509223106883,6.525570306492837,6.385206547633877,5.291907038074831,5.291907038074831,11873,12134,2184022,1,342
0.6,61.135841773749526,58.35930261938853,2310.5923614621165,0.19460897510840702,0.19042297358349403,0.0010579528784335124,5.547537987957918,5.428211515660488,4.373495961760343,4.373495961760343,11873,12134,2184022,1,3
0.5,59.71513456308307,57.197001600269516,2105.274996597767,0.17731617928053287,0.17350214245902149,0.0009639440429619147,5.307268164746019,5.193109850010671,4.063293225646943,4.063293225646943,11873,12134,2184022,1,3
