timestamp_s,power_w
0.000003,71.365
0.050108,71.638
0.100228,71.638
0.150351,71.486
0.200475,71.486
0.250587,71.508
0.300697,71.508
0.350807,71.696
0.400917,71.696
0.451025,71.992
0.501131,71.992
0.551236,70.512
0.601343,70.512
0.651460,70.512
0.701575,70.512
0.751683,71.1
0.801796,71.1
0.851910,71.455
0.902027,71.455
0.952147,71.67
1.002278,71.67
1.052496,71.864
1.102651,71.864
1.152789,71.792
1.202919,71.792
1.253062,72.075
1.303199,72.075
1.353338,70.78
1.403486,70.78
1.453689,70.595
1.503845,70.595
1.553981,70.977
1.604125,70.977
1.654262,72.367
1.704399,72.367
1.754547,72.74
1.804690,72.74
1.854827,71.725
1.904965,71.725
1.955104,71.815
2.005232,71.815
2.055365,71.909
2.105500,71.909
2.155710,71.578
